id,data,cidade_origem,uf_origem,base_origem,nf,valor_da_nota,volumes,peso_real,peso_cubado,cidade_destino,uf_destino,base,setor,frete_peso,seguro,total_frete,vendedor,cliente,data_inclusao
136221,2024-01-01,"São Paulo",SP,SAO,1020,240.02,1,0.19,0.0,"SAO PAULO",SP,SAO,CEN,50.55,0.72006,51.27006,"Agustinho Ormeneze",Hiroshima,
136222,2024-01-01,"São Paulo",SP,SAO,1021,675.97,9,14.168,0.0,"SAO PAULO",SP,SAO,CEN,84.317049,2.02791,86.344959,"Agustinho Ormeneze",Hiroshima,
136223,2024-01-01,"São Paulo",SP,SAO,1022,1056.05,19,27.37,0.0,JUQUITIBA,SP,SPO,TWM,125.8511,3.16815,129.01925,"Agustinho Ormeneze",Hiroshima,
136224,2024-01-01,"São Paulo",SP,SAO,1023,32.27,1,0.826,0.0,OSASCO,SP,SPO,TLG,69.53,0.09681,69.62681,"Agustinho Ormeneze",Hiroshima,
136225,2024-01-01,"São Paulo",SP,SAO,1024,1832.27,20,25.06,0.0,"SAO PAULO",SP,SAO,CEN,118.407208,5.49681,123.904018,"Agustinho Ormeneze",Hiroshima,
136226,2024-01-01,"São Paulo",SP,SAO,1025,8073.24,92,113.66,0.0,CAMPINAS,SP,SPO,DOC,433.1271,24.21972,457.34682,"Agustinho Ormeneze",Hiroshima,
136227,2024-01-01,"São Paulo",SP,SAO,1026,169.9,1,1.75,0.0,CAMPINAS,SP,SPO,DOC,69.53,0.5097,70.0397,"Agustinho Ormeneze",Hiroshima,
136228,2024-01-01,"São Paulo",SP,SAO,1027,3.85,2,2.2,0.0,"SAO VICENTE",SP,SPO,TLG,69.53,0.01155,69.54155,"Agustinho Ormeneze",Hiroshima,
136229,2024-01-01,"São Paulo",SP,SAO,1028,274.7,4,5.48,0.0,"RIBEIRAO PRETO",SP,SPO,DVT,73.6556,0.8241,74.4797,"Agustinho Ormeneze",Hiroshima,
136230,2024-01-01,"São Paulo",SP,SAO,1029,739.44,14,11.71,0.0,"PARAGUACU PAULISTA",SP,SPO,DVT,94.5743,2.21832,96.79262,"Agustinho Ormeneze",Hiroshima,
136231,2024-01-01,"São Paulo",SP,SAO,1030,1306.85,18,18.09,0.0,LINS,SP,SPO,DVT,111.7416,3.92055,115.66215,"Agustinho Ormeneze",Hiroshima,
136232,2024-01-01,"São Paulo",SP,SAO,1031,405.44,5,6.63,0.0,PINDAMONHANGABA,SP,SPO,DOC,78.9878,1.21632,80.20412,"Agustinho Ormeneze",Hiroshima,
136233,2024-01-01,"São Paulo",SP,SAO,1032,1770.37,29,27.028,0.0,"SANTO ANDRE",SP,SPO,TLG,160.2025,5.31111,165.51361,"Agustinho Ormeneze",Hiroshima,
136234,2024-01-01,"São Paulo",SP,SAO,1033,681.95,8,10.896,0.0,"SAO BERNARDO DO CAMPO",SP,SPO,TLG,94.1645,2.04585,96.21035,"Agustinho Ormeneze",Hiroshima,
136235,2024-01-01,"São Paulo",SP,SAO,1034,544.69,8,10.802,0.0,ARUJA,SP,SPO,TLG,105.3197,1.63407,106.95377,"Agustinho Ormeneze",Hiroshima,
